"transcript","20200717-NSP1-HEK-1-setB","20200717-NSP1-HEK-2-setB","20200717-NSP1-HEK-3-setB","20200717-NSP2-HEK-1-setB","20200717-NSP2-HEK-2-setB","20200717-NSP2-HEK-3-setB"
"DUX4-203",0,1,2,5,9,2
"DUXA-201",4,10,10,9,9,3
"DUXB-201",0,0,0,1,1,0
"DVL1-202",72,88,36,107,138,90
"DVL2-201",51,71,48,75,95,90
"DVL3-212",120,167,104,218,211,207
"DWORF-201",0,0,0,0,0,0
"DXO-202",29,21,32,24,35,31
"DYDC1-202",0,0,0,0,0,0
"DYDC2-204",0,0,0,0,0,0
"DYM-201",34,43,22,42,68,46
"DYNAP-201",1,0,0,0,0,0
"DYNC1H1-201",1600,1853,1213,2488,2953,2332
"DYNC1I1-201",1,3,0,3,3,2
"DYNC1I2-202",145,214,108,238,306,223
"DYNC1LI1-201",187,267,167,270,337,265
"DYNC1LI2-201",97,119,73,108,126,97
"DYNC2H1-203",402,391,210,456,486,439
"DYNC2LI1-201",11,32,10,32,27,37
"DYNLL1-203",87,96,55,113,138,129
"DYNLL2-201",8,9,5,5,6,14
"DYNLRB1-202",54,61,53,78,82,67
"DYNLRB2-201",0,0,1,0,0,0
"DYNLT1-203",18,30,20,38,41,30
"DYNLT3-201",4,1,4,5,8,2
"DYRK1A-221",88,149,73,87,112,109
"DYRK1B-204",20,25,13,21,25,22
"DYRK2-202",65,66,48,60,77,76
"DYRK3-203",23,34,30,27,34,24
"DYRK4-211",21,27,18,29,58,36
"DYSF-208",4,3,0,5,3,1
"DYTN-201",0,0,0,0,0,0
"DZANK1-201",4,4,3,7,1,0
"DZIP1-204",156,221,133,238,256,182
"DZIP1L-201",28,26,17,26,30,17
"DZIP3-201",90,93,66,118,143,125
"E2F1-201",48,44,32,23,35,44
"E2F2-201",35,37,30,38,27,42
"E2F3-201",67,67,51,63,85,54
"E2F4-201",99,159,102,104,152,108
"E2F5-202",24,25,11,21,29,34
"E2F6-202",21,17,14,18,17,15
"E2F7-201",57,52,43,61,94,75
"E2F8-205",50,38,22,33,53,30
"E4F1-201",95,78,42,78,90,93
"EAF1-201",35,34,29,34,35,36
"EAF2-201",4,5,3,7,6,5
"EAPP-201",41,60,42,69,75,75
"EARS2-201",56,76,47,64,74,65
"EBAG9-201",23,30,19,53,46,32
"EBF1-201",5,10,4,5,4,4
"EBF2-203",7,0,2,5,4,2
"EBF3-202",44,46,28,46,63,60
"EBF4-210",2,2,1,4,4,4
"EBI3-201",0,0,0,0,1,0
"EBLN1-201",0,0,1,0,0,0
"EBLN2-201",1,2,1,1,2,2
"EBNA1BP2-201",362,438,266,553,696,526
"EBP-205",60,66,32,60,69,56
"EBPL-201",20,27,22,25,29,21
"ECD-201",67,96,47,91,108,109
"ECE1-203",48,72,45,76,97,48
"ECE2-202",0,0,0,0,0,0
"ECEL1-201",6,5,1,3,7,4
"ECH1-201",41,76,41,73,89,63
"ECHDC1-214",80,89,57,95,129,119
"ECHDC2-203",1,0,3,2,1,0
"ECHDC3-201",0,1,0,0,1,0
"ECHS1-201",121,161,104,181,220,182
"ECI1-201",77,80,67,100,156,92
"ECI2-207",59,60,56,77,119,83
"ECM1-202",0,1,2,1,0,0
"ECM2-201",0,1,2,1,0,0
"ECPAS-202",345,391,232,405,511,400
"ECSCR-201",0,0,0,0,0,0
"ECSIT-202",52,58,38,69,74,37
"ECT2-216",179,207,125,197,258,233
"ECT2L-205",2,0,0,0,1,0
"EDA-203",6,8,10,14,13,8
"EDA2R-204",3,2,2,3,3,3
"EDAR-201",0,0,0,1,0,0
"EDARADD-202",3,4,0,0,8,2
"EDC3-219",49,62,54,70,88,49
"EDC4-201",175,213,127,232,255,205
"EDDM13-208",0,1,0,0,0,0
"EDDM3A-201",0,0,0,0,0,0
"EDDM3B-201",0,1,0,0,0,0
"EDEM1-201",47,55,40,78,76,68
"EDEM2-202",13,9,13,11,23,16
"EDEM3-201",103,124,68,142,114,132
"EDF1-201",108,120,80,158,166,158
"EDIL3-201",2,8,4,8,5,3
"EDN1-201",0,0,0,0,0,0
"EDN2-201",0,0,0,0,0,0
"EDN3-202",0,0,0,0,0,0
"EDNRA-201",7,11,3,5,4,11
"EDNRB-207",6,6,7,3,9,7
"EDRF1-201",144,163,101,130,154,130
"EEA1-201",206,197,115,226,245,224
"EED-201",75,85,63,88,124,67
"EEF1A1-202",4841,6338,3961,8816,10263,8621
"EEF1A2-201",115,140,80,263,328,259
"EEF1AKMT1-202",5,11,7,18,16,11
"EEF1AKMT2-201",5,7,10,10,14,8
"EEF1AKMT3-201",1,4,4,3,1,6
"EEF1AKMT4-201",2,11,5,3,7,2
"EEF1AKMT4-ECE2-201",0,0,0,0,0,0
"EEF1B2-203",577,679,473,838,1087,847
"EEF1D-205",629,672,482,787,993,770
"EEF1E1-201",17,8,4,12,17,8
"EEF1E1-BLOC1S5-201",0,0,0,0,0,0
"EEF1G-201",0,0,0,0,0,0
"EEF2-201",6347,7246,5019,9079,10669,8600
"EEF2K-201",62,64,45,96,109,110
"EEF2KMT-201",36,60,24,36,49,38
"EEFSEC-201",16,46,23,31,50,38
"EEPD1-201",8,10,8,4,9,10
"EFCAB1-201",0,0,0,0,0,0
"EFCAB10-205",3,4,0,1,6,4
"EFCAB11-201",12,16,15,24,9,16
"EFCAB12-204",1,2,0,1,0,1
"EFCAB13-201",1,1,0,0,1,0
"EFCAB14-201",43,69,49,47,59,46
"EFCAB2-203",1,1,4,4,3,0
"EFCAB3-201",2,1,1,1,2,1
"EFCAB5-201",6,2,3,0,3,2
"EFCAB6-201",18,17,7,8,6,9
"EFCAB7-201",14,16,13,7,17,15
"EFCAB8-201",0,0,1,0,0,0
"EFCAB9-201",0,0,0,0,0,0
"EFCC1-201",0,5,0,0,0,0
"EFEMP1-202",17,11,8,18,32,18
"EFEMP2-201",1,0,0,5,2,3
"EFHB-201",0,2,0,0,0,0
"EFHC1-201",9,14,9,12,11,12
"EFHC2-202",0,0,0,1,0,0
"EFHD1-201",14,23,12,35,32,31
"EFHD2-201",112,127,106,104,122,97
"EFL1-201",86,105,55,111,123,111
"EFNA1-202",8,9,3,6,5,7
"EFNA2-201",3,1,0,2,2,4
"EFNA3-201",1,0,0,2,0,1
"EFNA4-202",4,2,2,1,0,2
"EFNA5-201",23,18,17,26,26,22
"EFNB1-201",23,9,10,20,21,14
"EFNB2-203",11,13,11,9,16,10
"EFNB3-201",4,4,3,4,5,6
"EFR3A-201",92,88,44,109,139,92
"EFR3B-204",14,24,22,25,20,20
"EFS-201",0,0,1,0,0,0
"EFTUD2-202",287,344,226,435,472,411
"EGF-201",1,0,0,1,0,0
"EGFL6-201",0,0,0,0,0,0
"EGFL7-203",15,8,9,14,14,17
"EGFL8-220",0,0,0,0,0,1
"EGFLAM-201",3,5,3,3,10,6
"EGFR-201",32,15,15,45,27,35
"EGLN1-201",145,144,78,175,181,160
"EGLN2-207",0,0,0,0,0,0
"EGLN3-201",14,9,12,20,7,9
"EGR1-201",8,13,4,90,105,89
"EGR2-201",1,2,1,1,0,0
"EGR3-201",0,0,1,5,7,3
"EGR4-202",0,0,0,0,1,0
"EHBP1-201",123,152,84,141,180,132
"EHBP1L1-201",11,8,8,19,22,14
"EHD1-201",47,61,47,67,68,62
"EHD2-201",2,0,1,2,6,1
"EHD3-201",20,20,18,38,39,12
"EHD4-201",32,39,33,43,65,42
"EHF-201",0,0,0,0,0,0
"EHHADH-201",10,16,15,36,35,33
"EHMT1-203",142,145,101,203,232,168
"EHMT2-203",166,207,116,215,228,172
"EI24-201",107,111,82,121,159,127
"EID1-201",103,118,74,142,180,140
"EID2-201",22,35,18,31,53,23
"EID2B-201",2,6,7,6,5,6
"EID3-201",0,0,1,0,1,1
"EIF1-203",95,87,41,133,160,153
"EIF1AD-201",23,32,31,23,24,17
"EIF1AX-202",211,224,142,233,243,225
"EIF1AY-201",0,0,0,0,0,0
"EIF1B-201",16,21,8,25,28,30
"EIF2A-203",134,146,87,190,213,191
"EIF2AK1-201",275,375,257,387,486,405
"EIF2AK2-201",87,146,84,138,197,159
"EIF2AK3-201",57,47,44,62,90,50
"EIF2AK4-201",206,197,124,186,231,179
"EIF2B1-201",81,103,57,96,158,108
"EIF2B2-201",37,58,28,62,90,70
"EIF2B3-201",79,66,44,106,107,113
"EIF2B4-201",74,96,69,103,132,98
"EIF2B5-201",96,127,70,125,150,113
"EIF2D-201",67,90,53,95,103,75
"EIF2S1-201",97,103,68,139,164,141
"EIF2S2-201",227,287,143,384,411,391
"EIF2S3-201",234,281,176,380,433,294
"EIF2S3B-202",1,0,0,0,0,0
"EIF3A-201",1738,2072,1153,2174,2490,2111
"EIF3B-201",786,853,560,875,1137,1017
"EIF3C-201",1,8,3,8,8,6
"EIF3CL-201",0,0,0,0,1,0
"EIF3D-201",559,661,382,818,1007,813
"EIF3E-201",427,546,324,657,757,630
"EIF3F-208",175,186,140,255,297,228
"EIF3G-201",321,366,251,487,585,458
"EIF3H-209",232,287,171,366,447,394
"EIF3I-202",214,253,171,302,365,294
"EIF3J-201",89,92,60,107,117,121
"EIF3K-201",126,135,88,190,234,144
"EIF3L-214",359,422,308,573,670,536
"EIF3M-208",259,318,195,316,429,378
"EIF4A1-201",0,0,0,0,0,0
"EIF4A2-201",242,291,152,353,357,331
"EIF4A3-201",169,168,136,195,237,185
"EIF4B-201",1416,1748,1156,1405,1694,1419
"EIF4E-203",93,140,74,126,165,139
"EIF4E1B-209",0,0,0,0,0,0
"EIF4E2-201",71,101,65,104,142,86
"EIF4E3-204",7,5,3,13,8,10
"EIF4EBP1-201",103,125,85,221,276,201
"EIF4EBP2-201",34,49,26,55,81,46
"EIF4EBP3-201",0,0,0,1,1,1
"EIF4ENIF1-206",115,148,88,130,127,119
"EIF4G1-202",2593,2948,2011,3334,4101,3328
"EIF4G3-201",705,836,500,745,978,811
"EIF4H-202",368,388,295,547,606,517
"EIF5-201",301,413,206,283,374,347
"EIF5A-202",76,85,58,130,128,105
"EIF5A2-201",3,7,3,5,11,3
"EIF5AL1-201",0,0,0,0,0,0
"EIF5B-201",750,896,591,978,1138,954
"EIF6-203",25,34,27,33,56,41
"EIPR1-201",33,37,11,28,40,37
"ELAC1-201",1,5,2,3,5,5
"ELAC2-201",259,310,216,308,371,315
"ELANE-202",0,0,0,0,0,0
"ELAVL1-201",231,273,155,272,366,277
"ELAVL2-204",8,16,7,9,14,16
"ELAVL3-201",1,0,0,1,0,0
"ELAVL4-204",0,0,1,0,0,1
"ELF1-201",48,69,48,74,100,60
"ELF2-204",61,73,44,82,87,74
"ELF3-201",0,0,0,0,1,0
"ELF4-201",71,58,56,73,100,63
"ELF5-201",0,0,0,0,0,0
"ELFN1-201",2,4,2,1,3,2
"ELFN2-201",5,13,4,3,5,5
"ELK1-201",92,99,63,80,89,64
"ELK3-201",15,25,16,21,23,16
"ELK4-202",57,66,45,49,45,65
"ELL-201",48,43,41,54,45,39
"ELL2-201",35,76,42,65,81,65
"ELL3-201",1,0,0,2,2,0
"ELMO1-201",3,5,7,10,14,7
"ELMO2-201",25,28,21,36,32,27
"ELMO3-202",1,0,2,0,1,3
"ELMOD1-201",6,7,5,2,12,10
"ELMOD2-201",15,18,4,17,21,21
"ELMOD3-205",4,10,8,8,11,11
"ELMSAN1-204",143,144,116,163,143,112
"ELN-201",0,1,0,1,0,1
"ELOA-201",321,318,195,242,325,265
"ELOA2-201",0,1,0,0,0,0
"ELOA3-201",0,0,0,0,0,0
"ELOA3B-201",0,0,0,0,0,0
"ELOA3C-201",0,0,0,0,0,0
"ELOA3D-201",0,0,0,0,0,0
"ELOB-203",132,142,97,215,237,210
"ELOC-210",14,19,6,15,15,20
"ELOF1-201",7,4,3,7,10,5
"ELOVL1-216",22,18,18,20,15,26
"ELOVL2-201",15,19,9,19,23,19
"ELOVL3-201",0,0,0,0,1,0
"ELOVL4-201",26,24,24,41,37,59
"ELOVL5-201",74,77,52,95,86,97
"ELOVL6-202",17,20,14,17,26,29
"ELOVL7-205",8,7,6,1,1,4
"ELP1-201",186,256,176,288,362,301
"ELP2-203",162,177,105,217,261,228
"ELP3-201",33,66,45,55,83,65
"ELP4-229",28,20,9,30,39,23
"ELP5-204",52,59,37,58,59,70
"ELP6-201",37,54,24,44,62,34
"ELSPBP1-201",0,0,0,3,1,2
"EMB-201",41,68,35,68,83,70
"EMC1-207",129,149,111,166,227,207
"EMC10-201",17,30,16,25,31,23
"EMC2-201",36,57,22,69,67,57
"EMC3-201",36,45,26,48,35,46
"EMC4-202",24,24,23,47,51,25
"EMC6-202",0,0,0,0,0,0
"EMC7-201",22,20,20,33,40,49
"EMC8-201",44,54,40,60,64,29
"EMC9-202",9,7,13,12,13,15
"EMCN-201",0,0,0,0,0,0
"EMD-202",79,89,66,125,133,91
"EME1-201",34,45,27,42,61,46
"EME2-205",2,4,1,0,3,4
"EMG1-203",65,68,38,62,73,67
"EMID1-201",1,4,1,5,8,3
"EMILIN1-201",1,1,3,1,1,1
"EMILIN2-201",27,61,25,69,86,60
"EMILIN3-201",49,54,41,48,74,52
"EML1-201",63,64,37,87,75,63
"EML2-201",11,20,13,12,27,16
"EML3-202",21,13,13,32,35,27
"EML4-201",178,220,148,202,283,239
"EML5-207",46,68,35,57,68,45
"EML6-201",18,11,18,22,37,21
"EMP1-201",0,0,0,0,0,0
"EMP2-202",11,11,11,13,27,16
"EMP3-201",3,8,3,11,13,5
"EMSY-210",64,87,36,79,98,82
"EMX1-201",6,7,3,6,5,6
"EMX2-203",7,11,8,13,12,6
"EN1-201",40,39,25,24,37,36
"EN2-201",96,121,65,89,111,104
"ENAH-204",581,760,459,756,945,767
"ENAM-201",2,0,0,2,1,0
"ENC1-207",7,20,8,13,16,12
"ENDOD1-201",10,12,10,29,27,31
"ENDOG-201",18,13,2,14,20,7
"ENDOU-202",0,1,0,1,1,0
"ENDOV-204",5,5,2,5,6,1
"ENG-201",1,1,1,0,0,0
"ENGASE-205",36,34,15,28,29,37
"ENHO-201",1,1,0,8,7,6
"ENKD1-201",10,10,7,24,19,18
"ENKUR-201",0,0,0,0,0,0
"ENO1-213",1550,1904,1164,2625,2853,2554
"ENO2-205",13,17,11,26,34,20
"ENO3-201",6,5,2,1,8,1
"ENO4-201",0,2,1,1,1,0
"ENOPH1-201",67,60,39,79,91,70
"ENOSF1-201",6,15,13,24,29,31
"ENOX1-201",20,17,9,25,17,17
"ENOX2-202",22,33,21,59,50,23
"ENPEP-201",29,24,18,19,36,29
"ENPP1-201",70,75,48,87,91,85
"ENPP2-202",5,5,1,3,12,14
"ENPP3-203",4,0,0,1,0,1
"ENPP4-201",7,14,9,6,15,17
"ENPP5-202",3,5,5,0,4,2
"ENPP6-201",0,0,0,0,0,0
"ENPP7-201",1,0,0,0,0,0
"ENSA-208",77,68,37,85,86,68
"ENTHD1-201",0,0,0,0,0,0
"ENTPD1-201",0,1,0,0,0,0
"ENTPD2-202",0,0,0,0,0,0
"ENTPD3-201",0,0,0,2,2,1
"ENTPD4-202",23,26,19,14,31,27
"ENTPD5-201",14,21,13,22,22,12
"ENTPD6-203",48,49,31,64,54,46
"ENTPD7-201",28,32,19,23,32,22
"ENTPD8-201",0,1,1,0,0,1
"ENTR1-201",104,128,91,116,154,124
"ENY2-211",24,24,19,33,33,35
"EOGT-201",7,12,5,8,13,11
"EOMES-201",5,7,8,3,4,3
"EP300-201",721,802,541,728,870,729
"EP400-205",590,582,392,663,759,587
"EPAS1-201",28,42,43,68,93,64
"EPB41-207",169,164,99,171,198,185
"EPB41L1-202",39,32,34,58,64,57
"EPB41L2-201",449,587,345,725,846,648
"EPB41L3-201",146,176,97,174,235,193
"EPB41L4A-211",10,10,9,16,13,12
"EPB41L4B-202",25,24,16,21,33,32
"EPB41L5-203",30,41,11,43,57,28
"EPB42-205",0,0,0,0,0,0
"EPC1-202",33,48,30,33,33,44
"EPC2-201",72,74,37,105,100,89
"EPCAM-201",3,1,4,0,2,2
"EPDR1-201",2,8,4,5,7,8
"EPG5-211",32,35,36,51,60,43
"EPGN-202",0,0,0,0,0,0
"EPHA1-201",0,0,0,0,0,0
"EPHA10-202",0,4,3,2,1,1
"EPHA2-201",21,38,24,28,40,35
"EPHA3-201",36,27,20,20,39,43
"EPHA4-201",34,50,52,42,50,40
"EPHA5-201",7,4,10,9,9,6
"EPHA6-201",25,14,11,30,38,28
"EPHA7-202",66,107,55,82,133,89
"EPHA8-201",14,20,9,19,16,12
"EPHB1-201",6,3,4,4,5,4
"EPHB2-203",18,23,23,29,37,27
"EPHB3-201",4,5,5,8,5,7
"EPHB4-201",183,170,122,150,169,121
"EPHB6-211",3,7,1,2,2,2
"EPHX1-206",40,43,18,49,62,46
"EPHX2-207",6,6,9,11,10,7
"EPHX3-201",0,0,0,0,0,0
"EPHX4-201",2,1,0,4,8,13
"EPM2A-201",2,3,0,3,9,0
"EPM2AIP1-201",2,0,0,0,0,0
"EPN1-201",134,156,86,151,179,161
"EPN2-201",20,18,11,30,22,17
"EPN3-201",1,0,0,2,0,0
"EPO-201",0,0,0,1,0,0
"EPOP-201",11,12,8,4,10,13
"EPOR-201",3,3,3,6,5,5
"EPPIN-202",0,0,0,0,0,0
"EPPIN-WFDC6-201",0,0,0,0,0,0
"EPPK1-202",12,10,11,13,30,16
"EPRS-201",819,1033,588,1154,1541,1333
"EPS15-203",161,207,113,202,259,188
"EPS15L1-202",98,102,69,103,113,78
"EPS8-219",38,50,40,59,78,68
"EPS8L1-201",4,13,5,10,7,5
"EPS8L2-223",2,1,0,0,2,1
"EPS8L3-203",1,0,1,0,0,0
"EPSTI1-201",0,1,5,5,1,1
"EPX-201",1,1,0,1,0,2
"EPYC-201",0,0,0,0,0,0
"EQTN-202",0,0,0,0,0,1
"ERAL1-201",77,89,44,94,111,91
"ERAP1-201",11,10,8,11,9,18
"ERAP2-202",1,1,3,4,7,6
"ERAS-201",0,0,0,0,0,0
"ERBB2-201",43,62,36,91,107,79
"ERBB3-201",7,11,11,6,13,7
"ERBB4-202",15,13,8,19,27,29
"ERBIN-204",246,296,182,265,316,292
"ERC1-213",175,184,144,204,233,193
"ERC2-201",20,22,17,24,32,16
"ERCC1-202",17,24,22,49,48,31
"ERCC2-204",63,88,45,106,115,95
"ERCC3-201",100,120,68,120,151,120
"ERCC4-201",58,83,51,68,77,77
"ERCC5-201",2,3,3,0,2,3
"ERCC6-201",42,52,39,63,82,54
"ERCC6L-201",75,96,47,81,90,89
"ERCC6L2-201",34,25,14,20,29,50
"ERCC8-201",10,17,18,18,30,26
"EREG-201",0,0,0,0,0,0
"ERF-201",38,37,23,61,46,40
"ERFE-207",8,4,3,7,18,7
"ERG-201",0,0,0,0,0,2
"ERG28-201",19,12,13,28,41,17
"ERGIC1-202",62,90,38,91,98,87
"ERGIC2-201",45,63,25,51,61,75
"ERGIC3-202",128,151,108,173,171,154
"ERH-203",56,77,37,87,91,80
"ERI1-209",23,31,22,22,23,25
"ERI2-202",17,16,18,32,41,40
"ERI3-201",40,51,27,71,87,60
"ERICH1-201",56,59,46,61,90,60
"ERICH2-201",0,2,1,0,1,1
"ERICH3-201",0,1,0,0,0,1
"ERICH4-201",0,1,0,0,0,0
"ERICH5-201",10,6,4,11,7,4
"ERICH6-201",0,0,0,2,0,1
"ERICH6B-201",0,0,0,0,1,0
"ERLEC1-201",35,60,34,65,79,76
"ERLIN1-203",36,49,26,38,46,42
"ERLIN2-201",49,65,40,72,105,61
"ERMAP-203",2,5,5,3,6,7
"ERMARD-203",18,32,18,34,30,33
"ERMN-205",1,0,0,0,0,0
"ERMP1-202",34,25,18,34,54,36
"ERN1-201",20,25,12,26,28,22
"ERN2-201",0,0,0,0,0,0
"ERO1A-201",123,94,83,175,186,134
"ERO1B-202",10,20,24,26,19,31
"ERP27-201",0,0,0,0,0,0
"ERP29-201",146,161,85,204,232,165
"ERP44-201",61,71,54,93,117,80
"ERRFI1-201",40,22,19,45,35,35
"ERV3-1-201",6,3,2,5,7,3
"ERVFRD-1-201",1,1,0,0,0,1
"ERVK3-1-201",0,0,0,0,0,0
"ERVMER34-1-202",0,0,0,0,0,0
"ERVV-1-201",0,0,0,0,0,0
"ERVV-2-201",0,0,0,0,0,0
"ERVW-1-201",11,3,5,3,5,0
"ESAM-201",2,0,2,1,3,0
"ESCO1-201",75,90,71,84,154,105
"ESCO2-201",25,31,13,35,42,31
"ESD-202",46,58,39,75,107,72
"ESF1-201",184,238,133,232,263,237
"ESM1-202",0,0,0,0,0,0
"ESPL1-201",137,109,81,167,214,149
"ESPN-218",1,2,0,0,0,1
"ESPNL-201",8,7,6,3,5,2
"ESR1-207",0,0,0,2,0,0
"ESR2-202",7,4,3,3,2,0
"ESRP1-203",0,0,1,0,1,0
"ESRP2-202",4,3,1,1,2,3
"ESRRA-202",17,11,6,12,15,9
"ESRRB-208",2,2,7,6,4,4
"ESRRG-208",2,8,2,8,1,6
"ESS2-201",41,58,39,65,89,58
"ESX1-201",2,5,2,2,3,1
"ESYT1-202",129,159,103,207,208,204
"ESYT2-201",128,84,74,126,143,133
"ESYT3-202",0,4,0,0,0,0
"ETAA1-201",33,68,33,74,84,68
"ETDA-201",0,0,0,0,0,0
"ETDB-201",0,0,0,0,0,0
"ETDC-201",0,0,0,0,0,0
"ETF1-201",230,291,179,306,365,346
"ETFA-203",143,183,109,243,288,219
"ETFB-201",24,52,27,76,77,70
"ETFBKMT-201",1,1,0,1,3,1
"ETFDH-206",52,53,41,85,87,94
"ETFRF1-201",9,5,3,9,15,8
"ETHE1-201",6,8,3,9,6,6
"ETNK1-201",73,74,57,84,80,80
"ETNK2-203",12,21,8,17,24,14
"ETNPPL-201",2,5,2,2,2,3
"ETS1-201",3,4,4,9,8,11
"ETS2-201",33,48,28,34,34,35
"ETV1-210",3,3,3,2,11,2
"ETV2-203",0,3,0,2,0,0
"ETV3-202",46,47,29,60,73,60
"ETV3L-201",0,0,0,0,0,0
"ETV4-201",0,1,0,9,9,3
"ETV5-201",1,5,0,26,30,25
"ETV6-202",9,16,10,11,12,15
"ETV7-202",0,0,0,0,0,0
"EVA1A-201",0,3,0,0,3,2
"EVA1B-201",2,0,0,7,3,2
"EVA1C-201",0,1,1,3,0,2
"EVC-201",51,34,28,44,68,53
"EVC2-202",0,0,0,0,0,0
"EVI2A-201",0,0,0,0,0,0
"EVI2B-201",0,0,0,0,2,1
"EVI5-201",87,83,88,106,143,119
"EVI5L-201",24,32,24,45,60,44
"EVL-201",47,78,58,100,120,90
"EVPL-201",1,2,1,1,1,2
"EVPLL-201",0,0,2,0,0,0
"EVX1-202",1,0,0,0,0,0
"EVX2-201",0,0,0,0,0,1
"EWSR1-206",690,725,489,896,1053,861
"EXD1-201",1,0,0,0,1,0
"EXD2-202",20,16,13,15,34,27
"EXD3-201",3,0,0,0,2,0
"EXO1-202",229,252,165,277,338,266
"EXO5-203",8,5,3,11,8,15
"EXOC1-203",43,61,41,53,72,69
"EXOC1L-202",0,0,0,0,0,0
"EXOC2-201",81,88,70,114,161,102
"EXOC3-209",104,120,69,111,137,105
"EXOC3L1-201",0,3,0,3,1,1
"EXOC3L2-202",1,0,1,0,1,2
"EXOC3L4-201",1,1,1,3,3,0
"EXOC4-201",69,90,54,76,96,90
"EXOC5-211",69,111,54,113,133,150
"EXOC6-201",43,44,21,64,67,63
"EXOC6B-201",41,60,33,79,71,74
"EXOC7-201",92,91,74,108,144,100
"EXOC8-201",96,104,58,73,109,70
"EXOG-201",27,31,20,37,34,33
"EXOSC1-204",19,21,20,32,32,17
"EXOSC10-202",252,293,191,364,429,363
"EXOSC2-204",128,183,113,188,195,179
"EXOSC3-201",58,87,50,64,67,62
"EXOSC4-201",26,47,21,45,66,40
"EXOSC5-201",24,22,18,25,35,53
"EXOSC6-201",22,41,13,14,38,32
"EXOSC7-201",35,40,24,56,53,28
"EXOSC8-202",26,43,30,47,75,63
"EXOSC9-201",118,136,80,197,211,159
"EXPH5-201",39,50,34,39,53,39
"EXT1-201",29,34,16,39,39,39
"EXT2-201",51,68,34,75,91,63
"EXTL1-201",0,1,0,1,1,1
"EXTL2-202",8,27,7,16,26,28
"EXTL3-201",33,57,21,44,48,31
"EYA1-202",15,14,4,16,18,8
"EYA2-202",42,31,26,43,48,33
"EYA3-203",65,79,31,55,83,57
"EYA4-203",48,49,22,49,51,54
"EYS-211",1,3,3,2,0,2
"EZH1-202",41,52,40,58,61,45
"EZH2-201",214,249,136,200,285,231
"EZR-202",434,489,312,562,645,526
"F10-202",2,0,0,3,0,0
"F11-203",0,0,0,0,1,0
"F11R-202",0,0,0,0,0,0
"F12-201",5,8,6,11,17,13
"F13A1-201",0,0,0,0,0,0
"F13B-201",0,0,0,1,0,0
"F2-201",0,0,0,0,0,0
"F2R-201",14,19,16,15,17,33
"F2RL1-201",9,5,6,7,10,8
"F2RL2-201",0,0,0,0,0,0
"F2RL3-201",0,0,0,0,0,1
"F3-201",10,9,8,11,9,8
"F5-202",0,0,0,1,0,0
"F7-202",0,0,0,0,0,0
"F8-202",7,10,5,13,10,10
"F8A1-201",0,0,0,0,0,0
"F8A2-201",0,0,0,0,0,0
"F8A3-201",0,0,0,0,0,0
"F9-201",0,0,0,0,1,0
"FA2H-201",0,0,0,0,1,2
"FAAH-201",2,3,2,5,5,4
"FAAH2-201",1,5,1,1,1,3
"FAAP100-201",21,33,19,31,37,45
"FAAP20-202",13,20,15,25,40,28
"FAAP24-202",1,5,2,6,4,4
"FABP1-201",0,1,0,0,0,0
"FABP12-201",0,0,0,0,0,0
"FABP2-201",0,0,0,0,0,0
"FABP3-201",0,1,0,0,0,0
"FABP4-201",0,0,0,0,0,0
"FABP5-201",112,107,75,191,215,154
"FABP6-202",0,0,0,0,0,0
"FABP7-202",0,0,0,0,0,0
"FABP9-201",0,0,0,0,0,0
"FADD-201",73,63,42,52,77,58
"FADS1-201",57,61,24,79,83,65
"FADS2-202",61,72,47,78,71,71
"FADS3-201",6,8,7,18,16,11
"FADS6-203",0,0,0,0,0,0
"FAF1-202",176,219,127,228,228,234
"FAF2-201",207,262,183,265,295,259
"FAH-202",18,14,19,27,23,24
"FAHD1-203",62,42,37,61,63,58
"FAHD2A-201",18,14,5,6,23,22
"FAHD2B-202",10,4,7,9,8,8
"FAIM-204",34,41,46,43,37,36
"FAIM2-201",0,0,0,0,0,0
"FAM102A-203",13,26,10,14,20,14
"FAM102B-201",10,32,15,33,28,32
"FAM104A-201",13,19,10,15,28,15
"FAM104B-203",13,10,8,6,11,10
"FAM107A-202",0,0,0,0,0,0
"FAM107B-201",17,32,27,35,52,35
"FAM110A-202",1,5,0,3,6,2
"FAM110B-201",9,7,5,4,11,2
"FAM110C-201",0,0,1,2,0,1
"FAM110D-201",0,0,2,0,0,0
"FAM111A-204",0,0,1,0,0,0
"FAM111B-201",0,1,0,1,1,0
"FAM114A1-201",16,15,10,22,21,19
"FAM114A2-201",60,55,34,59,67,55
"FAM117A-201",16,21,16,17,36,15
"FAM117B-201",66,49,40,68,76,61
"FAM118A-201",26,32,18,23,34,37
"FAM118B-209",24,31,15,28,32,32
"FAM120A-201",283,301,206,327,364,320
"FAM120AOS-201",16,6,8,15,13,10
"FAM120B-201",94,104,82,104,122,121
"FAM120C-202",31,35,18,28,32,28
"FAM122A-201",34,32,20,33,25,22
"FAM122B-206",69,89,52,64,108,102
"FAM122C-202",2,1,1,3,1,1
"FAM124A-201",4,3,5,6,5,1
"FAM124B-202",0,0,0,1,0,0
"FAM126A-204",47,71,34,61,65,61
"FAM126B-202",13,14,10,8,27,9
"FAM129A-201",19,28,15,48,61,43
"FAM129B-201",60,59,38,67,87,91
"FAM129C-202",0,0,0,0,0,0
"FAM131A-203",4,3,1,4,4,2
"FAM131B-206",0,0,0,0,4,1
