"transcript","20200717-NSP1-HEK-1-setB","20200717-NSP1-HEK-2-setB","20200717-NSP1-HEK-3-setB","20200717-NSP2-HEK-1-setB","20200717-NSP2-HEK-2-setB","20200717-NSP2-HEK-3-setB"
"AC005833.1-201",0,0,0,0,0,0
"AC005837.2-201",0,0,0,0,0,0
"AC005943.1-201",0,0,0,0,0,0
"AC006030.1-201",0,0,0,0,0,0
"AC006059.2-201",0,2,0,0,0,0
"AC006064.6-201",4,9,2,12,3,4
"AC006254.1-201",0,0,0,0,0,0
"AC006518.7-201",0,0,0,0,0,0
"AC006978.2-201",0,0,0,0,0,0
"AC007040.2-201",3,0,0,0,0,1
"AC007192.1-201",0,0,0,0,0,0
"AC007240.1-201",2,2,3,1,1,0
"AC007326.4-201",0,0,0,0,0,0
"AC007375.1-201",0,0,0,0,0,0
"AC007731.5-201",0,0,0,0,0,0
"AC007906.2-202",0,0,0,0,0,0
"AC007998.2-201",0,1,0,0,0,0
"AC008012.1-201",0,0,0,0,0,0
"AC008073.3-201",2,1,0,1,0,1
"AC008162.2-201",0,0,0,0,0,0
"AC008397.1-202",0,0,0,0,0,0
"AC008397.2-201",0,0,0,0,0,0
"AC008481.3-201",0,0,0,0,0,0
"AC008537.1-201",0,0,0,0,0,0
"AC008575.1-201",0,0,0,0,0,0
"AC008581.2-201",0,0,0,0,0,0
"AC008676.3-201",0,0,0,0,0,0
"AC008687.4-201",3,0,0,0,0,0
"AC008687.8-201",0,0,0,0,0,0
"AC008695.1-201",0,0,0,0,0,0
"AC008750.8-201",0,0,0,0,0,0
"AC008758.1-201",0,0,0,0,1,0
"AC008758.4-201",0,0,0,0,0,0
"AC008758.6-201",0,1,0,1,0,2
"AC008763.2-201",0,0,0,0,0,0
"AC008763.3-201",0,0,0,0,0,1
"AC008764.1-201",0,0,0,0,0,0
"AC008764.4-203",0,0,0,0,0,0
"AC008770.1-201",0,0,0,0,0,0
"AC008770.2-201",0,0,0,0,1,0
"AC008878.1-202",0,0,0,0,0,0
"AC008878.2-201",0,0,0,0,0,0
"AC008878.3-201",0,0,0,0,0,0
"AC009119.2-201",0,0,0,0,0,0
"AC009133.6-201",0,0,0,0,0,0
"AC009163.2-201",0,0,0,0,0,0
"AC009336.2-201",0,0,0,0,0,0
"AC009477.2-201",0,0,0,1,0,0
"AC009690.1-201",0,0,1,0,0,0
"AC009690.3-201",0,0,0,0,0,0
"AC009879.3-201",0,0,0,0,0,0
"AC010132.3-201",0,0,0,0,0,0
"AC010197.2-201",0,0,0,0,0,0
"AC010255.3-203",0,0,0,0,0,0
"AC010323.1-201",0,0,0,0,0,0
"AC010325.1-202",0,0,0,0,0,0
"AC010326.2-201",0,0,0,0,0,0
"AC010327.1-201",0,0,0,0,0,0
"AC010422.3-201",0,0,0,0,0,0
"AC010422.6-201",0,0,0,0,0,0
"AC010422.8-201",0,2,0,0,0,0
"AC010463.1-201",0,0,0,0,0,0
"AC010531.1-201",0,0,0,2,0,0
"AC010542.3-202",0,0,0,0,0,0
"AC010547.4-201",0,0,0,0,0,0
"AC010615.4-201",0,0,0,0,0,0
"AC010616.1-201",1,1,0,0,0,0
"AC010616.2-201",0,0,0,0,0,0
"AC010619.1-201",0,0,0,0,0,0
"AC011005.1-201",0,1,0,0,0,0
"AC011195.2-201",0,0,0,1,0,0
"AC011330.3-201",0,0,0,0,0,0
"AC011448.1-201",1,2,0,0,0,0
"AC011452.1-201",0,0,0,0,0,0
"AC011455.2-201",0,0,0,0,0,0
"AC011462.1-202",0,0,0,0,0,0
"AC011473.4-202",0,0,0,0,0,0
"AC011479.1-202",0,0,0,0,0,1
"AC011498.4-201",0,0,0,0,0,0
"AC011499.1-201",1,1,0,0,0,0
"AC011511.1-201",0,0,2,0,0,0
"AC011511.4-201",0,0,0,0,0,0
"AC011604.2-202",0,0,0,0,0,0
"AC012184.2-203",0,0,0,0,0,0
"AC012213.5-201",0,0,0,0,0,0
"AC012254.2-203",0,0,0,0,0,0
"AC012309.1-203",1,0,0,0,0,0
"AC012476.1-201",0,0,0,1,0,0
"AC012531.2-201",0,0,0,0,0,0
"AC012651.1-204",0,0,0,0,0,0
"AC013470.2-206",0,0,0,0,1,0
"AC013489.1-201",0,0,0,0,0,0
"AC013717.1-201",0,0,0,0,0,0
"AC015688.4-201",0,0,0,0,0,0
